"","p.value","cor_estimate"
"ENSG00000100292",1.38881572382751e-29,0.943860476379965
"ENSG00000100316",8.53388979080524e-28,0.935019153041746
"ENSG00000100319",1.27045937120872e-30,0.948417233495793
"ENSG00000100320",1.43965235843212e-34,0.962543959605191
"ENSG00000100345",1.27526239567593e-17,0.847861368882439
"ENSG00000100353",1.03271958769457e-19,0.872730967738069
"ENSG00000100360",7.61793851399334e-30,0.945042181928365
"ENSG00000100380",5.62852263192824e-31,0.949880244134248
"ENSG00000100387",4.24591029796962e-30,0.946167896608955
"ENSG00000100401",4.01133712915736e-33,0.957897279307254
"ENSG00000100412",4.65619387153734e-29,0.941399957411701
"ENSG00000100426",3.4831618400673e-34,0.961363567180626
"ENSG00000100461",2.08645917251467e-32,0.955380507502826
"ENSG00000100503",1.70796874207163e-32,0.955694040514282
"ENSG00000100504",4.79502596493952e-31,0.950163204901098
"ENSG00000100505",5.78892700324535e-32,0.953746419410789
"ENSG00000100519",3.58297639027789e-30,0.946490362993539
"ENSG00000100554",1.32972872406006e-31,0.952369554475153
"ENSG00000100592",1.49860793816113e-30,0.948115130213703
"ENSG00000100600",8.9633213582351e-33,0.956688744146602
"ENSG00000100626",1.04605226672373e-33,0.959841303607486
"ENSG00000100628",2.63682327264276e-26,0.926559731102388
"ENSG00000100632",1.72578580952339e-38,0.972696627651208
"ENSG00000100644",2.50889631924269e-18,0.856799308854729
"ENSG00000100890",2.38315029808556e-35,0.96483465524888
"ENSG00000100897",4.29665481945634e-28,0.936586542676764
"ENSG00000100994",1.11020909345601e-23,0.908761121699356
"ENSG00000101019",1.22933696204492e-29,0.944102594197661
"ENSG00000101084",2.62319490661254e-31,0.9512135653503
"ENSG00000101109",3.52090983255244e-33,0.958090024409684
"ENSG00000101182",2.84176434581791e-18,0.856135011151771
"ENSG00000101210",8.19401608009126e-24,0.909755460244379
"ENSG00000101298",5.14673824061287e-29,0.94119131792932
"ENSG00000101335",5.22298856041611e-31,0.950012471371984
"ENSG00000101363",2.25163155292816e-32,0.955260574962263
"ENSG00000101384",1.90346472911371e-28,0.938395687691158
"ENSG00000101400",2.658734212318e-26,0.926538000153724
"ENSG00000101439",4.77577538014469e-32,0.954059109589903
"ENSG00000101460",1.29991369738054e-28,0.939224751510773
"ENSG00000101473",2.78822710800741e-31,0.951108359284645
"ENSG00000101605",2.42082157821326e-34,0.961854165386823
"ENSG00000101608",4.46035771527677e-24,0.911712505933676
"ENSG00000101639",7.90938069973168e-34,0.960233999108068
"ENSG00000101752",2.20786088400734e-32,0.955291509392773
"ENSG00000101882",2.22593667646388e-27,0.932761986691298
"ENSG00000101901",2.11402200790713e-33,0.958835404908682
"ENSG00000101940",2.35224150107121e-32,0.955191612519239
"ENSG00000101972",5.51222469789858e-30,0.945668201116593
"ENSG00000102007",7.43981830761274e-34,0.960319447094394
"ENSG00000102119",1.59765574326539e-32,0.955798122292189
"ENSG00000102144",2.71703008648419e-24,0.913274705058002
"ENSG00000102225",1.655971523443e-21,0.890605900664986
"ENSG00000102265",5.23359430731791e-20,0.875872613752024
"ENSG00000102309",4.51219653151266e-31,0.950270112690043
"ENSG00000102409",3.47036596596638e-29,0.942007830732816
"ENSG00000102575",4.69859364553573e-32,0.954085491061492
"ENSG00000102781",1.09698868306757e-33,0.959774124108588
"ENSG00000102786",8.16456785581663e-32,0.953182118296757
"ENSG00000102804",6.55355808386642e-39,0.973604517244623
"ENSG00000102870",8.12466963470558e-20,0.87384934090781
"ENSG00000102898",1.14836002655119e-28,0.939491746012119
"ENSG00000102974",1.60225104407243e-33,0.959234728810438
"ENSG00000102996",5.98678578253035e-23,0.903031962280977
"ENSG00000103051",1.66322906743313e-29,0.943500592646622
"ENSG00000103126",9.72581096541241e-22,0.892705938566763
"ENSG00000103145",4.76067503992128e-30,0.945949403234902
"ENSG00000103194",2.1011551920368e-36,0.967703505999451
"ENSG00000103197",1.014561161011e-29,0.944481569709463
"ENSG00000103222",1.25514524409934e-34,0.962723868589749
"ENSG00000103264",1.70980885641889e-32,0.955692359886418
"ENSG00000103266",5.11627892974272e-28,0.936191495708088
"ENSG00000103326",3.37406165395447e-33,0.958152797067465
"ENSG00000103363",2.20343382347442e-22,0.898342530079242
"ENSG00000103502",2.80138544285934e-29,0.942446600986315
"ENSG00000103507",8.64049286369587e-24,0.909582591276039
"ENSG00000103512",1.15956369571144e-34,0.962827369049278
"ENSG00000103888",1.33023008789659e-26,0.928333629456353
"ENSG00000104164",3.53051966470094e-27,0.931647250973288
"ENSG00000104218",4.372954550273e-35,0.964077933904624
"ENSG00000104231",8.7841264556428e-33,0.956719528703703
"ENSG00000104332",2.1888268895606e-35,0.964939387019616
"ENSG00000104341",3.18895117893742e-25,0.919701783868254
"ENSG00000104368",5.20937125142119e-29,0.941166070696237
"ENSG00000104412",1.15117342226372e-32,0.956305439056046
"ENSG00000104419",2.34839729548427e-25,0.920578254345583
"ENSG00000104522",9.46869780345871e-22,0.892810525041195
"ENSG00000104524",1.65816585782293e-32,0.955740202604923
"ENSG00000104529",5.95521518957203e-28,0.935845860848197
"ENSG00000104613",4.00254324334977e-29,0.94171360002346
"ENSG00000104687",2.7453610444318e-31,0.9511350968394
"ENSG00000104695",2.46007633841401e-32,0.955120785996807
"ENSG00000104723",2.33237857513406e-32,0.955204999199592
"ENSG00000104805",8.90033701201618e-35,0.963170927452217
"ENSG00000104824",1.95353415367681e-34,0.962140377586242
"ENSG00000104936",5.24845122460434e-34,0.960803015876373
"ENSG00000104938",6.84006800420749e-33,0.957099006966114
"ENSG00000104960",3.09702013512699e-28,0.937320551502677
"ENSG00000105048",2.4088309884962e-32,0.955154062933294
"ENSG00000105058",1.66035940787791e-28,0.938694060709631
"ENSG00000105135",1.35494811452397e-30,0.948299677893699
"ENSG00000105193",8.83779178856049e-32,0.953051093443566
"ENSG00000105197",5.51784157807649e-31,0.949915397552964
"ENSG00000105202",9.82605276598786e-32,0.952875217965028
"ENSG00000105204",7.68789951072517e-24,0.909962738014149
"ENSG00000105220",9.43683748551051e-30,0.944623814314174
"ENSG00000105221",5.69047963397559e-32,0.95377438521797
"ENSG00000105223",1.02445395655499e-20,0.883078133053192
"ENSG00000105248",2.16382444007289e-31,0.951544007126602
"ENSG00000105251",6.42130166078565e-33,0.95719430829832
"ENSG00000105258",8.86563680316742e-28,0.934930876786064
"ENSG00000105278",2.77265364469186e-31,0.951118027062853
"ENSG00000105281",7.54722740430124e-16,0.822626129806812
"ENSG00000105341",1.06035541262433e-31,0.952748450647601
"ENSG00000105372",6.03385024553462e-19,0.864166460128484
"ENSG00000105379",9.64801950968471e-29,0.939864830555058
"ENSG00000105401",8.0971403441614e-29,0.940237824350266
"ENSG00000105404",1.70895458674879e-20,0.880866613160582
"ENSG00000105419",1.0101966292086e-32,0.956505983532419
"ENSG00000105518",5.6723667445223e-27,0.93048139794557
"ENSG00000105520",3.7211254590227e-33,0.958008388660971
"ENSG00000105568",2.18951265525221e-30,0.947414724650476
